Domain,# Relevant pages,# Downloaded pages,# Harvest Ratio
flixster,83,500,0.166
rottentomatoes,222,500,0.444
metacritic,303,500,0.606
mubi,129,500,0.258
allmovie,46,500,0.092
movies,110,500,0.22
imdb,79,500,0.158
tribute,92,500,0.184
yify,111,500,0.222
boxofficemojo,178,500,0.356
Total,1353,5000,0.2706
