Algorithm,Training Time,Accuracy,Precision,Recall,F1-Measure
"AdaBoost (N=30, learning_rate=0.900000)",0.606000s,0.92929292929292928,0.91666666666666663,0.93617021276595747,0.92631578947368431
"AdaBoost (N=30, learning_rate=1.000000)",0.605000s,0.87878787878787878,0.8571428571428571,0.8936170212765957,0.875
"AdaBoost (N=40, learning_rate=0.100000)",0.802000s,0.89898989898989901,0.84905660377358494,0.95744680851063835,0.90000000000000002
"AdaBoost (N=40, learning_rate=0.500000)",0.795000s,0.87878787878787878,0.8571428571428571,0.8936170212765957,0.875
"AdaBoost (N=40, learning_rate=0.700000)",0.807000s,0.92929292929292928,0.91666666666666663,0.93617021276595747,0.92631578947368431
"AdaBoost (N=40, learning_rate=0.800000)",0.802000s,0.88888888888888884,0.875,0.8936170212765957,0.88421052631578945
"AdaBoost (N=40, learning_rate=0.900000)",0.860000s,0.92929292929292928,0.91666666666666663,0.93617021276595747,0.92631578947368431
"AdaBoost (N=40, learning_rate=1.000000)",0.850000s,0.87878787878787878,0.8571428571428571,0.8936170212765957,0.875
"AdaBoost (N=100, learning_rate=0.100000)",2.108000s,0.92929292929292928,0.87037037037037035,1.0,0.93069306930693074
"AdaBoost (N=100, learning_rate=0.500000)",2.099000s,0.93939393939393945,0.8867924528301887,1.0,0.94000000000000006
"AdaBoost (N=100, learning_rate=0.700000)",2.054000s,0.91919191919191923,0.88235294117647056,0.95744680851063835,0.91836734693877542
"AdaBoost (N=100, learning_rate=0.800000)",2.020000s,0.93939393939393945,0.8867924528301887,1.0,0.94000000000000006
"AdaBoost (N=100, learning_rate=0.900000)",2.026000s,0.93939393939393945,0.8867924528301887,1.0,0.94000000000000006
"AdaBoost (N=100, learning_rate=1.000000)",2.049000s,0.93939393939393945,0.8867924528301887,1.0,0.94000000000000006
"AdaBoost (N=1000, learning_rate=0.100000)",20.612000s,0.92929292929292928,0.87037037037037035,1.0,0.93069306930693074
"AdaBoost (N=1000, learning_rate=0.500000)",20.900000s,0.92929292929292928,0.87037037037037035,1.0,0.93069306930693074
"AdaBoost (N=1000, learning_rate=0.700000)",20.812000s,0.92929292929292928,0.87037037037037035,1.0,0.93069306930693074
"AdaBoost (N=1000, learning_rate=0.800000)",20.582000s,0.92929292929292928,0.87037037037037035,1.0,0.93069306930693074
"AdaBoost (N=1000, learning_rate=0.900000)",20.751000s,0.93939393939393945,0.8867924528301887,1.0,0.94000000000000006
"AdaBoost (N=1000, learning_rate=1.000000)",20.809000s,0.93939393939393945,0.8867924528301887,1.0,0.94000000000000006
k-NN (k=1),0.016000s,0.81818181818181823,0.79591836734693877,0.82978723404255317,0.8125
k-NN (k=5),0.016000s,0.76767676767676762,0.67647058823529416,0.97872340425531912,0.80000000000000004
k-NN (k=10),0.016000s,0.72727272727272729,0.63888888888888884,0.97872340425531912,0.77310924369747902
k-NN (k=20),0.016000s,0.60606060606060608,0.56451612903225812,0.74468085106382975,0.64220183486238536
k-NN (k=30),0.017000s,0.64646464646464652,0.60344827586206895,0.74468085106382975,0.66666666666666652
k-NN (k=35),0.018000s,0.6262626262626263,0.58333333333333337,0.74468085106382975,0.65420560747663548
k-NN (k=40),0.014000s,0.61616161616161613,0.57627118644067798,0.72340425531914898,0.64150943396226412
